"doc","id","chunk_index","chunk_type","page_num","content"
"Kubernetes集群运维规范.md","b3f87f72-293a-4cac-bb9d-58b645becc57",0,"TEXT",NULL,"# Kubernetes 集群运维规范

> 生产集群运维标准 · 适用于 v1.28+ 版本的企业级 Kubernetes 集群

## 一、集群架构与节点规划

生产集群采用多可用区部署，控制面节点固定 3 个（etcd 法定人数要求），工作节点按业务域划分节点池：

| 节点池 | 规格 | 数量 | 用途 | 污点（Taint） |
|-------|------|------|------|--------------|
| control-plane | 8C16G | 3 | API Server / etcd / 控制器 | node-role.kubernetes.io/control-plane:NoSchedule |
| app-general | 16C32G | 6 | 无状态业务负载 | 无 |
| app-stateful | 16C64G + SSD | 4 | 数据库、消息队列等有状态服务 | node.kubernetes.io/stateful=true:NoSchedule |
| batch-compute | 32C64G | 弹性 2-10 | 离线计算、CI 构建 | node.kubernetes.io/batch=true:NoSchedule |

**etcd 规范**：etcd 副本数固定为 3（容忍单节点故障），数据盘必须使用独立 SSD（IOPS ≥ 3000），禁止与业务负载混部。etcd 每日凌晨 02:00 执行快照备份，保留最近 7 天。

## 二、工作负载选型

三种核心工作负载控制器的适用场景严格区分：

| 控制器 | 适用场景 | 网络标识 | 存储特征 | 典型业务 |
|-------|---------|---------|---------|---------|
| Deployment | 无状态服务，副本可互换 | Pod IP 随机 | 无需持久化或共享存储 | Web API、网关、Worker |
| StatefulSet | 有状态服务，需稳定身份 | 固定 DNS（pod-0.svc） | 每副本独立 PVC | 数据库、Kafka、ZooKeeper |
| DaemonSet | 每节点单实例的系统服务 | 宿主机网络常见 | 挂载宿主机路径 | 日志采集、监控探针、CNI 插件 |

**StatefulSet 使用约束**：必须配置 `volumeClaimTemplates` 提供稳定的持久化存储；副本按序号顺序启停（0 → N-1），删除 StatefulSet 不会自动删除 PVC，防止数据误删；禁止将无状态服务放入 StatefulSet（滚动更新语义不同，会拖慢发布）。

## 三、资源配额与限制

命名空间级资源配额（ResourceQuota）与容器级限制（LimitRange）双层管控：

| 配额项 | 业务命名空间默认值 | 说明 |
|-------|------------------|------|"
"Kubernetes集群运维规范.md","bd38fff7-b15d-4537-84e3-a6e9cc4eb008",1,"TEXT",NULL,"| requests.cpu | 32 核 | 命名空间 CPU 申请总量上限 |
| requests.memory | 64Gi | 命名空间内存申请总量上限 |
| limits.cpu | 64 核 | 命名空间 CPU 限制总量上限 |
| limits.memory | 128Gi | 命名空间内存限制总量上限 |
| pods | 200 | 最大 Pod 数量 |
| persistentvolumeclaims | 20 | 最大 PVC 数量 |

**容器级强制规则**：所有容器必须声明 requests 与 limits；limits.cpu 不得超过 requests.cpu 的 2 倍（防止超卖挤兑）；Java 应用 limits.memory 须与 JVM 堆参数（-Xmx）配套设置，建议堆外预留 25%。

## 四、发布策略

| 策略 | 机制 | 回滚速度 | 资源开销 | 适用场景 |
|-----|------|---------|---------|---------|
| 滚动更新（RollingUpdate） | 逐批替换旧 Pod，maxSurge=25%、maxUnavailable=25% | 分钟级（kubectl rollout undo） | 低（+25% 峰值） | 绝大多数无状态服务 |
| 蓝绿发布（Blue-Green） | 新旧两套完整环境，流量一次性切换 | 秒级（切回旧环境） | 高（双倍资源） | 核心交易链路、需即时回滚 |
| 金丝雀发布（Canary） | 少量 Pod 承接小比例流量，逐步放量 | 秒级（摘除金丝雀） | 中（+少量 Pod） | 高风险变更、需灰度验证 |

**选型原则**：默认滚动更新；核心交易链路采用蓝绿发布保障秒级回滚；用户感知强、影响面大的功能变更采用金丝雀发布，初始流量比例不超过 5%，观察期不少于 30 分钟。

## 五、网络与服务暴露

- **ClusterIP Service**：集群内部服务发现默认方式，通过 kube-dns 提供 `<svc>.<ns>.svc.cluster.local` 域名解析。
- **Ingress**：南北向流量入口统一由 Ingress 网关承载（生产使用 Nginx Ingress Controller，3 副本跨可用区部署），禁止业务 Service 直接暴露 LoadBalancer 类型。
- **Ingress 与 Service 的本质区别**：Service 工作在四层（TCP/UDP 转发，kube-proxy 实现），Ingress 工作在七层（HTTP 路由、域名分流、TLS 终结），Ingress 规则最终仍转发到后端 Service。
- **NetworkPolicy**：生产命名空间默认拒绝所有入向流量（default-deny），按最小权限原则显式放通。"
"Kubernetes集群运维规范.md","cf61083c-f3ac-4de7-a86b-a1b1f5b97282",2,"TEXT",NULL,"## 六、常见故障排查

| 故障现象 | 常见原因 | 排查命令 | 处置要点 |
|---------|---------|---------|---------|
| CrashLoopBackOff | 启动命令错误、探针配置过严、依赖服务未就绪 | `kubectl logs <pod> --previous` | 查看上一周期日志，区分配置错误与依赖问题 |
| ImagePullBackOff | 镜像不存在、私有仓库凭证失效、网络不通 | `kubectl describe pod <pod>` | 核对镜像 tag 与 imagePullSecrets |
| Pending | 资源不足、节点污点无对应容忍、PVC 未绑定 | `kubectl describe pod <pod>` | 检查事件（Events）中的调度失败原因 |
| OOMKilled | 内存 limit 低于实际用量、内存泄漏 | `kubectl top pod` + 监控曲线 | 调大 limit 或排查泄漏 |
| Evicted | 节点磁盘压力（DiskPressure）触发驱逐 | `kubectl get events --field-selector reason=Evicted` | 清理节点磁盘、检查 emptyDir 用量 |

## 七、服务等级与变更纪律

- **SLA 定义**：核心业务可用性目标 99.95%（月度停机 ≤ 21.6 分钟）；API 网关 P99 延迟 ≤ 500ms。
- **变更窗口**：生产变更限于工作日 10:00-12:00 与 14:00-17:00；周五下午及节假日前禁止非紧急变更。
- **发布三件套**：每次发布必须包含回滚方案、监控看板链接、验证用例清单，缺一不得执行。"
"增值税发票管理实务手册.md","99d075f4-f9bd-4563-aa7e-929baac51d52",0,"TEXT",NULL,"# 增值税发票管理实务手册

> 企业内部财务规范文档 · 适用于一般纳税人与小规模纳税人的日常发票管理

## 一、发票种类与适用场景

现行增值税发票体系包含以下主要种类，各类发票在使用范围、税率与认证要求上存在显著差异：

| 发票种类 | 适用场景 | 常见税率 | 是否需要认证 | 备注 |
|---------|---------|---------|------------|------|
| 增值税专用发票 | 一般纳税人购销业务，可抵扣进项税 | 13% / 9% / 6% | 需要勾选认证 | 开票信息要求最严格 |
| 增值税普通发票 | 小规模纳税人及不可抵扣场景 | 3% / 1% | 无需认证 | 不可抵扣进项税额 |
| 增值税电子专用发票 | 电子化专票，效力同纸质专票 | 13% / 9% / 6% | 需要勾选认证 | 通过税务 UKey 开具 |
| 增值税电子普通发票 | 电商、餐饮等高频开票场景 | 3% / 1% | 无需认证 | 可版式文件下载 |
| 卷式发票 | 超市、加油站等零售场景 | 13% | 无需认证 | 票面幅面窄 |

**税率速查**：销售货物与加工修理修配劳务适用 13% 税率；交通运输、邮政、基础电信、建筑服务适用 9% 税率；现代服务、金融服务、生活服务适用 6% 税率；小规模纳税人默认征收率 3%（优惠政策期间减按 1%）。

## 二、认证与勾选确认

增值税专用发票的认证是进项税额抵扣的前置环节，核心规则如下：

- **认证期限**：增值税专用发票应自**开具之日起 360 日内**完成认证或勾选确认，逾期不得作为合法扣税凭证。该期限自 2020 年 3 月 1 日起由原 180 日延长而来，依据国家税务总局公告 2019 年第 45 号。
- **办理平台**：认证通过""**增值税发票综合服务平台**""办理（原""增值税发票选择确认平台""已升级合并），纳税人登录后进行发票勾选、统计与确认签名。"
"增值税发票管理实务手册.md","4e63cbfb-3cf2-4b0e-bc96-d85dbf77dc9c",1,"TEXT",NULL,"- **认证方式**：支持远程勾选认证（平台勾选）、扫描认证（办税服务厅自助终端）两种方式。
- **确认签名**：每个属期完成勾选后须执行""确认签名""操作，方可在申报期内申报抵扣；未确认签名的勾选不生效。

## 三、开票设备与工具

| 设备/工具 | 用途 | 发行机构 | 适用纳税人 |
|----------|------|---------|-----------|
| 金税盘 | 开具增值税发票，白色盘体 | 航天信息 | 一般纳税人（传统） |
| 税控盘 | 开具增值税发票，黑色盘体 | 百旺金赋 | 一般纳税人（传统） |
| 税务 UKey | 开具电子发票，免费发放 | 税务机关 | 自愿申领，逐步替代税控盘 |
| 发票综合服务平台 | 发票勾选认证与统计 | 税务机关 | 全部增值税一般纳税人 |

**税务 UKey 与税控盘的核心区别**：税务 UKey 由税务机关**免费发放**，无年度服务费；税控盘需向服务单位购买并缴纳年度技术维护费（约 280 元/年）。新办纳税人默认申领税务 UKey。

## 四、红字发票与作废处理

- **红字发票信息表**：发生销货退回、开票有误、销售折让等情形，需开具红字专用发票。购买方已认证的，由购买方在发票综合服务平台填开《开具红字增值税专用发票信息表》；未认证的，由销售方填开。
- **信息表有效期**：红字发票信息表无固定有效期，但填开后应尽快开具对应红字发票；信息表校验通过后方可开具红字发票。
- **作废条件**：纸质专用发票仅可在**开票当月**且未抄税、未认证的前提下作废；跨月发票只能走红字流程。
- **电子发票**：电子发票**不支持作废**，发生错误一律开具红字发票。

## 五、异常凭证处理

走逃失联企业开具的发票、涉税风险扫描命中的发票可能被认定为**异常增值税扣税凭证**（俗称""异常凭证""）：

1. 尚未申报抵扣的，**暂不允许抵扣**，需等待税务机关核实；
2."
"增值税发票管理实务手册.md","b420f5d4-8b15-46d2-8da3-c5ea9a9006d7",2,"TEXT",NULL,"已申报抵扣的，除另有规定外，**一律作进项税额转出处理**；
3. 纳税人对认定有异议的，可在收到《税务事项通知书》后向主管税务机关提出核实申请；
4. 经核实符合规定的，可继续申报抵扣或重新开具发票。

**失控发票**与异常凭证是不同概念：失控发票指防伪税控企业丢失、被盗税控专用设备后未开具的空白发票，以及走逃企业脱离税务机关监管后开具的发票。收到失控发票通知的企业应立即联系主管税务机关核实业务真实性。

## 六、常见问答

**问：小规模纳税人能否自行开具专用发票？**
答：可以。自 2021 年起，全部小规模纳税人（其他个人除外）均可自愿使用增值税发票管理系统自行开具增值税专用发票，无需再向税务机关申请代开。

**问：发票丢失如何处理？**
答：同时丢失发票联和抵扣联的，可凭加盖销售方发票专用章的记账联复印件作为记账和抵扣凭证；丢失前已认证的，无需重复认证。

**问：留抵退税与发票管理的关系？**
答：增值税留抵退税（增量留抵与存量留抵）以进项发票的规范认证抵扣为前提，存在异常凭证、纳税信用等级非 A/B 级等情形的纳税人不得申请留抵退税。"
"智能硬件产品规格目录.md","b73bbc33-023f-4748-a7c5-2c38a8377cc8",0,"TEXT",NULL,"# 智能硬件产品规格目录

> 2026 年度产品线规格总览 · 型号、参数、配件兼容与售后政策

## 一、产品线概览

本目录覆盖三大产品系列：**XG 系列**（工业级手持巡检终端）、**XR 系列**（消费级 AR 眼镜）与 **XS 系列**（智能传感网关）。各系列定位不同，配件不通用（XS 系列网关配件除外）。

## 二、XG-9000Pro 工业巡检终端

旗舰工业终端，面向电力、石化、轨交巡检场景。

| 参数项 | 规格值 |
|-------|-------|
| 型号编码 | XG-9000Pro |
| 处理器 | 八核 2.8GHz 工业级 SoC（-20℃~60℃ 工作温区） |
| 内存/存储 | 8GB LPDDR5 / 256GB UFS 3.1 |
| 显示屏 | 6.2 英寸 AMOLED，1000nit 强光可视 |
| 电池容量 | 6800mAh，支持 33W 快充与磁吸充电 |
| 防护等级 | IP68 + 1.8 米六面抗跌落（MIL-STD-810H） |
| 定位 | GPS + 北斗 + RTK 厘米级差分定位 |
| 整机重量 | 320g（含电池） |
| 可选模块 | 红外热成像模组（XG-TIR-01）、RFID 读写模组（XG-RFID-02） |

**XG-9000Pro 与 XG-7000 的差异**：XG-7000 为上一代型号，处理器主频 2.2GHz、电池 5000mAh、防护等级 IP67、无 RTK 定位模块，两者电池与模组**不兼容**。

## 三、XR-5500 AR 眼镜

消费级双目 AR 眼镜，面向远程协作与导览场景。

| 参数项 | 规格值 |
|-------|-------|
| 型号编码 | XR-5500 |
| 光学方案 | 双目衍射光波导，45° 视场角 |
| 显示分辨率 | 单目 1920×1080，120Hz |
| 处理器 | 高通 AR2 协处理 + 手机/主机串流 |
| 电池 | 镜腿内置 1200mAh，续航约 2.5 小时 |
| 整机重量 | 79g |
| 交互 | 6DoF 头部追踪 + 手势识别 + 语音唤醒 |
| 防护等级 | IP54 |"
"智能硬件产品规格目录.md","276d925e-a646-4356-911f-33909f287b46",1,"TEXT",NULL,"## 四、XS-200 智能传感网关

边缘传感网关，面向厂房环境监测。

| 参数项 | 规格值 |
|-------|-------|
| 型号编码 | XS-200 |
| 接入协议 | Modbus RTU/TCP、MQTT、LoRa（SX1276） |
| 上行通信 | 千兆以太网 + Wi-Fi 6 + 4G 全网通（可选） |
| 供电 | DC 12-48V 宽压 + PoE 802.3af |
| 工作温度 | -40℃~85℃ 工业级 |
| 本地存储 | 16GB eMMC（断网缓存 30 天） |

## 五、配件兼容矩阵

| 配件名称 | 配件编码 | 兼容型号 | 备注 |
|---------|---------|---------|------|
| 磁吸充电底座 | ACC-MCD-33 | XG-9000Pro / XG-7000 | 33W 输出，含状态指示灯 |
| 红外热成像模组 | XG-TIR-01 | 仅 XG-9000Pro | 测温范围 -20℃~550℃ |
| RFID 读写模组 | XG-RFID-02 | XG-9000Pro / XG-7000 | 支持 UHF 860-960MHz |
| AR 眼镜收纳盒 | ACC-XRC-01 | XR-5500 | 硬壳防压，含镜片布 |
| LoRa 外置天线 | ACC-LRA-05 | XS-200 | 5dBi 增益，SMA 接口 |

## 六、型号命名规则

产品型号遵循 `<系列><档位>-<代次><后缀>` 规则：

- **系列码**：XG = 工业手持终端，XR = AR 眼镜，XS = 传感网关；
- **档位码**：四位数中首位为档位（9 = 旗舰，7 = 主力，5 = 入门，2 = 基础）；
- **后缀**：Pro = 增强版，无后缀 = 标准版，Lite = 轻量版（未上市）。

例：XG-9000Pro 表示 XG 系列旗舰档第 000 代增强版；XR-5500 表示 XR 系列入门档第 500 代标准版。

## 七、售后服务政策

| 产品系列 | 整机质保期 | 电池质保期 | 延保服务 | 保修起始日 |
|---------|-----------|-----------|---------|-----------|
| XG 系列 | 24 个月 | 12 个月 | 可购 +12 个月 | 购机发票日期 |
| XR 系列 | 12 个月 | 6 个月 | 可购 +12 个月 | 购机发票日期 |"
"智能硬件产品规格目录.md","c030a19f-df89-4938-b5b7-e60fe4e8cd76",2,"TEXT",NULL,"| XS 系列 | 36 个月 | 不适用 | 可购 +24 个月 | 购机发票日期 |

**保修排除条款**：进水（超出防护等级使用）、私拆、非授权维修点维修、不可抗力损坏不在保修范围内。XG 系列支持**以换代修**服务（购买延保后生效），换机后质保期延续原机剩余时长，不重新计算。"
"阿里云文档解析（大模型版）介绍.pdf","b9bcb905-4405-4c59-9464-5ab90b0afd94",0,"TEXT",1,"文档解析(大模型版)接口可进行通用文档抽取和理解,支持多种常见格式的文档, 能从文档中提取出丰富的版面信息等,支持输出Markdown格式的内容。本文介绍如何调用该API,调用前请先阅读API使用指南。  


# 调用方式  


文档解析(大模型版)接口为异步接口,需要先调用文档解析异步提交服务SubmitDocParserJobAdvance或SubmitDocParserJob接口进行异步任务提交,然后调用文档解析(大模型版)状态查询服务QueryDocParserStatus接口进行处理状态查询,最后根据处理状态,调用GetDocParserResult接口进行结果查询。如下所示为文档解析(大模型版)使用流程图:  


## 说明  


文档解析(大模型版))免免费额度为每月3000页,用完即止。若您的免费额度或资源包消耗完毕,系统将默认采用按量付费的后付费计费方式。当异步任务处理提交后,用户可以在处理结束后的24小时之内查询处理结果,超过24小时后将无法查询到处理结果。  


支持的文档格式: pdf、 word、 ppt、 pptx、xls、xlsx、xlsm和图片, 图片支持jpg、jpeg、 png、 bmp、gif,其余格式支持markdown、html、epub、mobi、rtf、txt。  


支持的音视频格式: mp4、mkv、avi、 mov、 wmv、 mp 3、 wav、 aac。  


·文档解析(大模型版)支持解析文档中的图片和表格,图表类的图片会接入chart2table, 将图表类的图片转换成表格形式输出。  


·)从对文档中表格场景的解析效果来看,文档解析(大模型版)>文档智能解析>电子文档解析,因此推荐优先使用文档解析(大模型版)解析文档。从整体解析速度来看,电子文档解析>文档解析(大模型版)>文档智能解析。  


步骤一:调用文档解析(大模型版)异步提交服务SubmitDocParserJob接口"
